_place,n_total,pos_share,neg_share,recent_share,priority,top_topics,suggested_actions,place_name
ChIJ989aTeezrywRq952hyX2OsU,5,0.2,0.8,1.0,1.075055681536833,"we, were, the, was, and, had","['Amenities: more cleaning cycles/bins; stock toilets; quick-issue QR reporting.', 'Service: staff & cultural-safety training; surge roster in peak season.', 'Food/EFTPOS: diversify cuisines; shaded dining; ensure reliable EFTPOS; manage cash-only stalls.']",Mataranka Homestead
ChIJiZnArjC9wCwR4nfrHAoR3O4,5,0.6,0.4,0.6,-0.2866815150764887,"and, place, for, there, the, kids | it, to, you, is, not, the | we, were, the, was, and, had","['Heat: add shade sails/misters & water bubblers; promote cooler visit hours.', 'Parking: overflow wayfinding; clear signage; live availability via QR/site.', 'Ops comms: publish closures/track conditions (wet season) + alternatives via QR.']",Palmerston Water Park
Fannie Bay Gaol Darwin,1,1.0,0.0,0.0,-0.34657359027997264,"guys, great, episode, great episode, another great, keep",['Add on-site QR feedback to pinpoint issues; review staffing/amenities at peak times.'],Fannie Bay Gaol Darwin
Mindil Beach Darwin review,1,1.0,0.0,0.0,-0.34657359027997264,"the, season, darwin, in, wet, the wet","['Ops comms: publish closures/track conditions (wet season) + alternatives via QR.', 'Heat: add shade sails/misters & water bubblers; promote cooler visit hours.', 'Food/EFTPOS: diversify cuisines; shaded dining; ensure reliable EFTPOS; manage cash-only stalls.']",Mindil Beach Darwin review
Nightcliff Jetty sunset,1,1.0,0.0,0.0,-0.34657359027997264,"and, place, for, there, the, kids","['Access: better lighting on paths; publish bus/shuttle options; event shuttles.', 'Ops comms: publish closures/track conditions (wet season) + alternatives via QR.', 'Anglers: info on species/seasons; bait/gear availability; tide/current safety tips.']",Nightcliff Jetty sunset
ChIJ5ZqxuWajwCwRSC1HLX0uPes,5,0.6,0.4,1.0,-0.3583518938456109,"we, were, the, was, and, had | it, to, you, is, not, the","['Service: staff & cultural-safety training; surge roster in peak season.', 'Parking: overflow wayfinding; clear signage; live availability via QR/site.', 'Amenities: more cleaning cycles/bins; stock toilets; quick-issue QR reporting.']",BIG4 Howard Springs Holiday Park
ChIJxQjPggWRwCwRCuciq_gSq8Y,5,0.6,0.0,0.2,-0.6450334089220997,"and, place, for, there, the, kids | we, were, the, was, and, had","['Heat: add shade sails/misters & water bubblers; promote cooler visit hours.', 'Parking: overflow wayfinding; clear signage; live availability via QR/site.', 'Amenities: more cleaning cycles/bins; stock toilets; quick-issue QR reporting.']",Jingili Water Gardens
Darwin Waterfront review,2,1.0,0.0,0.5,-0.8239592165010823,"the, season, darwin, in, wet, the wet","['Ops comms: publish closures/track conditions (wet season) + alternatives via QR.', 'Food/EFTPOS: diversify cuisines; shaded dining; ensure reliable EFTPOS; manage cash-only stalls.', 'Wayfinding: onsite maps & multilingual signs; QR with live status/closures.']",Darwin Waterfront review
ChIJSz_j6QWRwCwRCplphF1Ulm0,5,0.8,0.2,0.6,-0.8600445452294665,"it, to, you, is, not, the | we, were, the, was, and, had | park, national, national park, kakadu, kakadu national, the","['Parking: overflow wayfinding; clear signage; live availability via QR/site.', 'Wayfinding: onsite maps & multilingual signs; QR with live status/closures.', 'Accessibility: ramps & pram routes; mark accessible paths on maps/QR.']",Top End Visitor Information Centre
Crocosaurus Cove review,5,1.0,0.0,0.0,-0.8958797346140275,"guys, great, episode, great episode, another great, keep | the, springs, of, katherine, alice, alice springs | see, to see, to, the, art, see the | it, to, you, is, not, the",['Add on-site QR feedback to pinpoint issues; review staffing/amenities at peak times.'],Crocosaurus Cove review
